Crop,Province,Year,Volume_Production,Area_Planted_Harvested
Alugbati (Malabar spinach),Abra,2023,0.75,0.92
Alugbati (Malabar spinach),Abra,2024,0.51,1
Alugbati (Malabar spinach),Agusan del Norte,2010,48.65,12
Alugbati (Malabar spinach),Agusan del Norte,2011,45.85,10
Alugbati (Malabar spinach),Agusan del Norte,2012,42,9.5
Alugbati (Malabar spinach),Agusan del Norte,2013,48.74,9.75
Alugbati (Malabar spinach),Agusan del Norte,2014,51.94,10
Alugbati (Malabar spinach),Agusan del Norte,2015,46.7,9.5
Alugbati (Malabar spinach),Agusan del Norte,2016,46.5,7
Alugbati (Malabar spinach),Agusan del Norte,2017,48.86,7
Alugbati (Malabar spinach),Agusan del Norte,2018,52.65,7.5
Alugbati (Malabar spinach),Agusan del Norte,2019,55.85,7.1
Alugbati (Malabar spinach),Agusan del Norte,2020,61.5,7.1
Alugbati (Malabar spinach),Agusan del Norte,2021,67.95,7.1
Alugbati (Malabar spinach),Agusan del Norte,2022,69.7,7.2
Alugbati (Malabar spinach),Agusan del Norte,2023,76.89,7.3
Alugbati (Malabar spinach),Agusan del Norte,2024,73.76,7.1
Alugbati (Malabar spinach),Agusan del Sur,2010,65.1,30
Alugbati (Malabar spinach),Agusan del Sur,2011,60.55,30
Alugbati (Malabar spinach),Agusan del Sur,2012,62.66,32
Alugbati (Malabar spinach),Agusan del Sur,2013,66.67,32
Alugbati (Malabar spinach),Agusan del Sur,2014,69.49,32
Alugbati (Malabar spinach),Agusan del Sur,2015,78.49,33
Alugbati (Malabar spinach),Agusan del Sur,2016,112.8,34
Alugbati (Malabar spinach),Agusan del Sur,2017,117.75,33
Alugbati (Malabar spinach),Agusan del Sur,2018,117.18,31
Alugbati (Malabar spinach),Agusan del Sur,2019,126.98,32.25
Alugbati (Malabar spinach),Agusan del Sur,2020,131.55,32.25
Alugbati (Malabar spinach),Agusan del Sur,2021,136.17,32
Alugbati (Malabar spinach),Agusan del Sur,2022,136.21,32
Alugbati (Malabar spinach),Agusan del Sur,2023,149.04,15.02
Alugbati (Malabar spinach),Agusan del Sur,2024,142.01,15.04
Alugbati (Malabar spinach),Aklan,2010,1973.89,29.7
Alugbati (Malabar spinach),Aklan,2011,1970.34,28.7
Alugbati (Malabar spinach),Aklan,2012,1951.96,28.49
Alugbati (Malabar spinach),Aklan,2013,1684.65,18
Alugbati (Malabar spinach),Aklan,2014,1541.81,21
Alugbati (Malabar spinach),Aklan,2015,1523.92,21
Alugbati (Malabar spinach),Aklan,2016,1402.48,21
Alugbati (Malabar spinach),Aklan,2017,1211.04,18.75
Alugbati (Malabar spinach),Aklan,2018,1200.03,19
Alugbati (Malabar spinach),Aklan,2019,1196.75,19.24
Alugbati (Malabar spinach),Aklan,2020,1197.96,19.25
Alugbati (Malabar spinach),Aklan,2021,1252.9,19.15
Alugbati (Malabar spinach),Aklan,2022,1308.03,19.3
Alugbati (Malabar spinach),Aklan,2023,1286.82,18.36
Alugbati (Malabar spinach),Aklan,2024,1260.11,18
Alugbati (Malabar spinach),Antique,2010,475.25,25
Alugbati (Malabar spinach),Antique,2011,443.2,24
Alugbati (Malabar spinach),Antique,2012,425.23,23
Alugbati (Malabar spinach),Antique,2013,380.38,20
Alugbati (Malabar spinach),Antique,2014,372.52,19
Alugbati (Malabar spinach),Antique,2015,373.94,19
Alugbati (Malabar spinach),Antique,2016,363.06,19
Alugbati (Malabar spinach),Antique,2017,364.4,19
Alugbati (Malabar spinach),Antique,2018,401,20
Alugbati (Malabar spinach),Antique,2019,398.47,21
Alugbati (Malabar spinach),Antique,2020,398.92,21
Alugbati (Malabar spinach),Antique,2021,407.68,21
Alugbati (Malabar spinach),Antique,2022,382.96,21
Alugbati (Malabar spinach),Antique,2023,394.35,21
Alugbati (Malabar spinach),Antique,2024,398.34,27
Alugbati (Malabar spinach),Apayao,2023,0.26,0.7
Alugbati (Malabar spinach),Apayao,2024,1.09,4
Alugbati (Malabar spinach),Aurora,2023,1.16,5.82
Alugbati (Malabar spinach),Aurora,2024,1.42,0.6
Alugbati (Malabar spinach),Basilan,2010,64.33,5
Alugbati (Malabar spinach),Basilan,2011,63.89,5
Alugbati (Malabar spinach),Basilan,2012,63.95,5
Alugbati (Malabar spinach),Basilan,2013,64.27,5
Alugbati (Malabar spinach),Basilan,2014,64.55,5
Alugbati (Malabar spinach),Basilan,2015,62.5,5
Alugbati (Malabar spinach),Basilan,2016,61.5,5
Alugbati (Malabar spinach),Basilan,2017,63.05,5
Alugbati (Malabar spinach),Basilan,2018,63.53,5
Alugbati (Malabar spinach),Basilan,2019,60.88,5
Alugbati (Malabar spinach),Basilan,2020,66.9,5
Alugbati (Malabar spinach),Basilan,2021,73.89,5
Alugbati (Malabar spinach),Basilan,2022,78.8,5
Alugbati (Malabar spinach),Basilan,2023,70.53,2
Alugbati (Malabar spinach),Basilan,2024,6.49,1.51
Alugbati (Malabar spinach),Bataan,2023,0.88,0.44
Alugbati (Malabar spinach),Bataan,2024,1.27,0.44
Alugbati (Malabar spinach),Batanes,2012,0.38,0.19
Alugbati (Malabar spinach),Batanes,2013,0.3,0.2
Alugbati (Malabar spinach),Batanes,2014,0.28,0.15
Alugbati (Malabar spinach),Batanes,2015,0.34,0.12
Alugbati (Malabar spinach),Batanes,2016,0.33,0.15
Alugbati (Malabar spinach),Batanes,2017,0.38,0.15
Alugbati (Malabar spinach),Batanes,2018,0.36,0.14
Alugbati (Malabar spinach),Batanes,2019,0.22,0.12
Alugbati (Malabar spinach),Batanes,2020,0.21,0.13
Alugbati (Malabar spinach),Batanes,2021,0.18,0.13
Alugbati (Malabar spinach),Batanes,2022,0.14,0.1
Alugbati (Malabar spinach),Batanes,2023,0.17,0.1
Alugbati (Malabar spinach),Batanes,2024,0.07,0.1
Alugbati (Malabar spinach),Batangas,2024,0.27,0.13
Alugbati (Malabar spinach),Benguet,2023,0.04,0.01
Alugbati (Malabar spinach),Benguet,2024,9.25,2.99
Alugbati (Malabar spinach),Biliran,2010,1.09,1.25
Alugbati (Malabar spinach),Biliran,2011,1.12,1.2
Alugbati (Malabar spinach),Biliran,2012,1.12,1.21
Alugbati (Malabar spinach),Biliran,2013,1,1.21
Alugbati (Malabar spinach),Biliran,2014,0.94,1.21
Alugbati (Malabar spinach),Biliran,2015,0.95,1.22
Alugbati (Malabar spinach),Biliran,2016,1.13,1.22
Alugbati (Malabar spinach),Biliran,2017,1.6,1.25
Alugbati (Malabar spinach),Biliran,2018,1.85,1.3
Alugbati (Malabar spinach),Biliran,2019,1.94,1.4
Alugbati (Malabar spinach),Biliran,2020,2.2,1.5
Alugbati (Malabar spinach),Biliran,2021,2.28,1.53
Alugbati (Malabar spinach),Biliran,2022,2.23,1.53
Alugbati (Malabar spinach),Biliran,2023,2.23,1.65
Alugbati (Malabar spinach),Biliran,2024,2.47,1.8
Alugbati (Malabar spinach),Bohol,2010,135.36,16
Alugbati (Malabar spinach),Bohol,2011,144.3,16
Alugbati (Malabar spinach),Bohol,2012,137.75,12
Alugbati (Malabar spinach),Bohol,2013,113,13
Alugbati (Malabar spinach),Bohol,2014,139.16,12
Alugbati (Malabar spinach),Bohol,2015,127.03,12
Alugbati (Malabar spinach),Bohol,2016,105.67,11
Alugbati (Malabar spinach),Bohol,2017,118.37,11
Alugbati (Malabar spinach),Bohol,2018,115.49,11.25
Alugbati (Malabar spinach),Bohol,2019,108.56,11.1
Alugbati (Malabar spinach),Bohol,2020,144.28,10
Alugbati (Malabar spinach),Bohol,2021,111.18,10
Alugbati (Malabar spinach),Bohol,2022,100.27,10
Alugbati (Malabar spinach),Bohol,2023,89.61,12.61
Alugbati (Malabar spinach),Bohol,2024,95.77,14
Alugbati (Malabar spinach),Bukidnon,2010,1470,88
Alugbati (Malabar spinach),Bukidnon,2011,1475,88
Alugbati (Malabar spinach),Bukidnon,2012,1468,90
Alugbati (Malabar spinach),Bukidnon,2013,1470,91
Alugbati (Malabar spinach),Bukidnon,2014,1455,90
Alugbati (Malabar spinach),Bukidnon,2015,1405,90
Alugbati (Malabar spinach),Bukidnon,2016,1406,91
Alugbati (Malabar spinach),Bukidnon,2017,1422,91
Alugbati (Malabar spinach),Bukidnon,2018,1429,91
Alugbati (Malabar spinach),Bukidnon,2019,1430,91.3
Alugbati (Malabar spinach),Bukidnon,2020,1688.48,97.82
Alugbati (Malabar spinach),Bukidnon,2021,1709.64,97.51
Alugbati (Malabar spinach),Bukidnon,2022,1704,97.73
Alugbati (Malabar spinach),Bukidnon,2023,1716.98,82.5
Alugbati (Malabar spinach),Bukidnon,2024,1623.78,82.75
Alugbati (Malabar spinach),Bulacan,2010,56,4.8
Alugbati (Malabar spinach),Bulacan,2011,60.2,5
Alugbati (Malabar spinach),Bulacan,2012,60,5
Alugbati (Malabar spinach),Bulacan,2013,56.15,4
Alugbati (Malabar spinach),Bulacan,2014,64.7,5
Alugbati (Malabar spinach),Bulacan,2015,71.5,6
Alugbati (Malabar spinach),Bulacan,2016,72,6.5
Alugbati (Malabar spinach),Bulacan,2017,81.5,6.5
Alugbati (Malabar spinach),Bulacan,2018,82,6.5
Alugbati (Malabar spinach),Bulacan,2019,77.86,6.52
Alugbati (Malabar spinach),Bulacan,2020,85.6,6.52
Alugbati (Malabar spinach),Bulacan,2021,90.35,6.5
Alugbati (Malabar spinach),Bulacan,2022,84.12,6.5
Alugbati (Malabar spinach),Bulacan,2023,111.46,6.68
Alugbati (Malabar spinach),Bulacan,2024,94.33,6.65
Alugbati (Malabar spinach),Cagayan,2010,88.66,40
Alugbati (Malabar spinach),Cagayan,2011,100.82,41
Alugbati (Malabar spinach),Cagayan,2012,108.31,42
Alugbati (Malabar spinach),Cagayan,2013,110.38,43
Alugbati (Malabar spinach),Cagayan,2014,102.77,42
Alugbati (Malabar spinach),Cagayan,2015,99.12,40
Alugbati (Malabar spinach),Cagayan,2016,90.4,37
Alugbati (Malabar spinach),Cagayan,2017,103.93,40
Alugbati (Malabar spinach),Cagayan,2018,101.83,40
Alugbati (Malabar spinach),Cagayan,2019,106,41
Alugbati (Malabar spinach),Cagayan,2020,108.61,41
Alugbati (Malabar spinach),Cagayan,2021,106.84,41
Alugbati (Malabar spinach),Cagayan,2022,109.44,41.5
Alugbati (Malabar spinach),Cagayan,2023,103.44,23.5
Alugbati (Malabar spinach),Cagayan,2024,90.13,22
Alugbati (Malabar spinach),Camarines Sur,2024,0.29,0.26
Alugbati (Malabar spinach),Camiguin,2010,75.34,2.3
Alugbati (Malabar spinach),Camiguin,2011,74,1.75
Alugbati (Malabar spinach),Camiguin,2012,72.55,2
Alugbati (Malabar spinach),Camiguin,2013,73.89,1.75
Alugbati (Malabar spinach),Camiguin,2014,72.04,2.15
Alugbati (Malabar spinach),Camiguin,2015,69.5,2
Alugbati (Malabar spinach),Camiguin,2016,74.34,2.5
Alugbati (Malabar spinach),Camiguin,2017,81.42,3.5
Alugbati (Malabar spinach),Camiguin,2018,80.09,3.25
Alugbati (Malabar spinach),Camiguin,2019,87.22,4
Alugbati (Malabar spinach),Camiguin,2020,104.95,4
Alugbati (Malabar spinach),Camiguin,2021,105.53,4.25
Alugbati (Malabar spinach),Camiguin,2022,107.3,4.25
Alugbati (Malabar spinach),Camiguin,2023,72.95,3.75
Alugbati (Malabar spinach),Camiguin,2024,68.46,3.75
Alugbati (Malabar spinach),Capiz,2010,548.7,37
Alugbati (Malabar spinach),Capiz,2011,536.3,37
Alugbati (Malabar spinach),Capiz,2012,536.46,36
Alugbati (Malabar spinach),Capiz,2013,545.57,35
Alugbati (Malabar spinach),Capiz,2014,542.32,36
Alugbati (Malabar spinach),Capiz,2015,549.18,36
Alugbati (Malabar spinach),Capiz,2016,546,36
Alugbati (Malabar spinach),Capiz,2017,517.5,36
Alugbati (Malabar spinach),Capiz,2018,525.7,37
Alugbati (Malabar spinach),Capiz,2019,513.6,36
Alugbati (Malabar spinach),Capiz,2020,493.5,36
Alugbati (Malabar spinach),Capiz,2021,493.3,36
Alugbati (Malabar spinach),Capiz,2022,481.25,35
Alugbati (Malabar spinach),Capiz,2023,499.91,35
Alugbati (Malabar spinach),Capiz,2024,471.58,33.5
Alugbati (Malabar spinach),Catanduanes,2010,0.29,1
Alugbati (Malabar spinach),Catanduanes,2011,0.27,1
Alugbati (Malabar spinach),Catanduanes,2012,0.27,1
Alugbati (Malabar spinach),Catanduanes,2013,0.31,1
Alugbati (Malabar spinach),Catanduanes,2014,0.29,1
Alugbati (Malabar spinach),Catanduanes,2015,0.29,1
Alugbati (Malabar spinach),Catanduanes,2016,0.27,1
Alugbati (Malabar spinach),Catanduanes,2017,0.26,1
Alugbati (Malabar spinach),Catanduanes,2018,0.29,1
Alugbati (Malabar spinach),Catanduanes,2019,0.27,1
Alugbati (Malabar spinach),Catanduanes,2020,0.19,1
Alugbati (Malabar spinach),Catanduanes,2021,0.1,1
Alugbati (Malabar spinach),Catanduanes,2022,0.05,0.99
Alugbati (Malabar spinach),Catanduanes,2023,0.05,1
Alugbati (Malabar spinach),Catanduanes,2024,0.02,0.04
Alugbati (Malabar spinach),Cavite,2010,1.6,1
Alugbati (Malabar spinach),Cavite,2011,1.66,1.05
Alugbati (Malabar spinach),Cavite,2012,1.48,1
Alugbati (Malabar spinach),Cavite,2013,1.52,1
Alugbati (Malabar spinach),Cavite,2014,1.48,1
Alugbati (Malabar spinach),Cavite,2015,1.46,1
Alugbati (Malabar spinach),Cavite,2016,1.3,1
Alugbati (Malabar spinach),Cavite,2017,1.22,1
Alugbati (Malabar spinach),Cavite,2018,1.26,1
Alugbati (Malabar spinach),Cavite,2019,1.35,1
Alugbati (Malabar spinach),Cavite,2020,1.37,1
Alugbati (Malabar spinach),Cavite,2021,1.45,1
Alugbati (Malabar spinach),Cavite,2022,2.28,1
Alugbati (Malabar spinach),Cavite,2023,0.57,1
Alugbati (Malabar spinach),Cavite,2024,0.81,0.44
Alugbati (Malabar spinach),Cebu,2010,2305.37,350
Alugbati (Malabar spinach),Cebu,2011,2688.38,352
Alugbati (Malabar spinach),Cebu,2012,2854.89,355
Alugbati (Malabar spinach),Cebu,2013,2786.62,353
Alugbati (Malabar spinach),Cebu,2014,2919.92,355
Alugbati (Malabar spinach),Cebu,2015,2806.87,350
Alugbati (Malabar spinach),Cebu,2016,2648.48,360
Alugbati (Malabar spinach),Cebu,2017,2681.28,360
Alugbati (Malabar spinach),Cebu,2018,2673.83,360
Alugbati (Malabar spinach),Cebu,2019,2639.76,360
Alugbati (Malabar spinach),Cebu,2020,2578.59,360
Alugbati (Malabar spinach),Cebu,2021,2674.74,340
Alugbati (Malabar spinach),Cebu,2022,2550,340
Alugbati (Malabar spinach),Cebu,2023,2732.08,178.56
Alugbati (Malabar spinach),Cebu,2024,2436.9,178.56
Alugbati (Malabar spinach),City of Davao,2010,773.89,347
Alugbati (Malabar spinach),City of Davao,2011,776.09,344
Alugbati (Malabar spinach),City of Davao,2012,774.98,345
Alugbati (Malabar spinach),City of Davao,2013,791.12,349
Alugbati (Malabar spinach),City of Davao,2014,793.4,350
Alugbati (Malabar spinach),City of Davao,2015,799.43,350
Alugbati (Malabar spinach),City of Davao,2016,802.12,348
Alugbati (Malabar spinach),City of Davao,2017,806.25,348
Alugbati (Malabar spinach),City of Davao,2018,807.33,348
Alugbati (Malabar spinach),City of Davao,2019,806.58,348
Alugbati (Malabar spinach),City of Davao,2020,858.48,350
Alugbati (Malabar spinach),City of Davao,2021,864.85,350
Alugbati (Malabar spinach),City of Davao,2022,868.42,345.05
Alugbati (Malabar spinach),City of Zamboanga,2010,71,11
Alugbati (Malabar spinach),City of Zamboanga,2011,74.84,12
Alugbati (Malabar spinach),City of Zamboanga,2012,77.54,12
Alugbati (Malabar spinach),City of Zamboanga,2013,78.47,12
Alugbati (Malabar spinach),City of Zamboanga,2014,80.97,13
Alugbati (Malabar spinach),City of Zamboanga,2015,80.71,13
Alugbati (Malabar spinach),City of Zamboanga,2016,80.35,12
Alugbati (Malabar spinach),City of Zamboanga,2017,81.45,11
Alugbati (Malabar spinach),City of Zamboanga,2018,84.27,11
Alugbati (Malabar spinach),City of Zamboanga,2019,86.02,11
Alugbati (Malabar spinach),City of Zamboanga,2020,90.39,11
Alugbati (Malabar spinach),City of Zamboanga,2021,96.8,11
Alugbati (Malabar spinach),City of Zamboanga,2022,99.26,11
Alugbati (Malabar spinach),Cotabato,2010,3124.8,70
Alugbati (Malabar spinach),Cotabato,2011,3190.16,72
Alugbati (Malabar spinach),Cotabato,2012,3198.73,72
Alugbati (Malabar spinach),Cotabato,2013,3281.24,72
Alugbati (Malabar spinach),Cotabato,2014,3303.31,72
Alugbati (Malabar spinach),Cotabato,2015,2770.45,65
Alugbati (Malabar spinach),Cotabato,2016,2404.93,64.5
Alugbati (Malabar spinach),Cotabato,2017,2451.51,63.2
Alugbati (Malabar spinach),Cotabato,2018,2415.99,59
Alugbati (Malabar spinach),Cotabato,2019,2297.94,58
Alugbati (Malabar spinach),Cotabato,2020,2238.88,58
Alugbati (Malabar spinach),Cotabato,2021,2024.33,53
Alugbati (Malabar spinach),Cotabato,2022,1617.41,42
Alugbati (Malabar spinach),Cotabato,2023,910.37,35.54
Alugbati (Malabar spinach),Cotabato,2024,680.82,22.01
Alugbati (Malabar spinach),Davao Occidental,2020,6.2,0.5
Alugbati (Malabar spinach),Davao Occidental,2021,6.23,0.5
Alugbati (Malabar spinach),Davao Occidental,2022,6.24,0.5
Alugbati (Malabar spinach),Davao Occidental,2023,6.12,0.6
Alugbati (Malabar spinach),Davao Occidental,2024,6.56,0.88
Alugbati (Malabar spinach),Davao Oriental,2010,525.63,24
Alugbati (Malabar spinach),Davao Oriental,2011,524.65,24
Alugbati (Malabar spinach),Davao Oriental,2012,525.23,25
Alugbati (Malabar spinach),Davao Oriental,2013,485.47,25
Alugbati (Malabar spinach),Davao Oriental,2014,497.35,25
Alugbati (Malabar spinach),Davao Oriental,2015,478.29,25
Alugbati (Malabar spinach),Davao Oriental,2016,471.21,25
Alugbati (Malabar spinach),Davao Oriental,2017,460.13,25
Alugbati (Malabar spinach),Davao Oriental,2018,429.38,24
Alugbati (Malabar spinach),Davao Oriental,2019,398.67,22
Alugbati (Malabar spinach),Davao Oriental,2020,359.41,22
Alugbati (Malabar spinach),Davao Oriental,2021,341.97,22
Alugbati (Malabar spinach),Davao Oriental,2022,336.13,22.1
Alugbati (Malabar spinach),Davao Oriental,2023,329.17,20.11
Alugbati (Malabar spinach),Davao Oriental,2024,304.8,20
Alugbati (Malabar spinach),Davao de Oro,2010,342.05,375
Alugbati (Malabar spinach),Davao de Oro,2011,337.5,370
Alugbati (Malabar spinach),Davao de Oro,2012,299.18,360
Alugbati (Malabar spinach),Davao de Oro,2013,285.15,359
Alugbati (Malabar spinach),Davao de Oro,2014,295.13,360
Alugbati (Malabar spinach),Davao de Oro,2015,301.83,360
Alugbati (Malabar spinach),Davao de Oro,2016,300.23,187
Alugbati (Malabar spinach),Davao de Oro,2017,301.44,193
Alugbati (Malabar spinach),Davao de Oro,2018,297.35,195
Alugbati (Malabar spinach),Davao de Oro,2019,298.09,195
Alugbati (Malabar spinach),Davao de Oro,2020,296.84,195
Alugbati (Malabar spinach),Davao de Oro,2021,297.12,195
Alugbati (Malabar spinach),Davao de Oro,2022,286.02,195
Alugbati (Malabar spinach),Davao de Oro,2023,275.54,196
Alugbati (Malabar spinach),Davao de Oro,2024,270.95,193.95
Alugbati (Malabar spinach),Davao del Norte,2010,574.54,39
Alugbati (Malabar spinach),Davao del Norte,2011,560.4,38
Alugbati (Malabar spinach),Davao del Norte,2012,546.21,37
Alugbati (Malabar spinach),Davao del Norte,2013,535.5,36
Alugbati (Malabar spinach),Davao del Norte,2014,537.58,36
Alugbati (Malabar spinach),Davao del Norte,2015,540.13,36
Alugbati (Malabar spinach),Davao del Norte,2016,536.43,37
Alugbati (Malabar spinach),Davao del Norte,2017,532.12,36.5
Alugbati (Malabar spinach),Davao del Norte,2018,534.92,36.55
Alugbati (Malabar spinach),Davao del Norte,2019,534.86,36.75
Alugbati (Malabar spinach),Davao del Norte,2020,539.9,37.12
Alugbati (Malabar spinach),Davao del Norte,2021,545.37,37.18
Alugbati (Malabar spinach),Davao del Norte,2022,537.95,37.11
Alugbati (Malabar spinach),Davao del Norte,2023,532.86,37.11
Alugbati (Malabar spinach),Davao del Norte,2024,533.17,37.68
Alugbati (Malabar spinach),Davao del Sur,2010,1012.19,55
Alugbati (Malabar spinach),Davao del Sur,2011,984.31,55
Alugbati (Malabar spinach),Davao del Sur,2012,986.12,55
Alugbati (Malabar spinach),Davao del Sur,2013,987.24,55
Alugbati (Malabar spinach),Davao del Sur,2014,991.55,57
Alugbati (Malabar spinach),Davao del Sur,2015,954.66,55
Alugbati (Malabar spinach),Davao del Sur,2016,934.53,55
Alugbati (Malabar spinach),Davao del Sur,2017,945.11,57
Alugbati (Malabar spinach),Davao del Sur,2018,950.27,57
Alugbati (Malabar spinach),Davao del Sur,2019,954.73,57
Alugbati (Malabar spinach),Davao del Sur,2020,957.05,57
Alugbati (Malabar spinach),Davao del Sur,2021,957.24,57
Alugbati (Malabar spinach),Davao del Sur,2022,953.01,57
Alugbati (Malabar spinach),Davao del Sur,2023,1873.9,353.08
Alugbati (Malabar spinach),Davao del Sur,2024,1833.74,353.08
Alugbati (Malabar spinach),Dinagat Islands,2013,3.15,0.25
Alugbati (Malabar spinach),Dinagat Islands,2014,1.35,0.25
Alugbati (Malabar spinach),Dinagat Islands,2015,1.18,0.25
Alugbati (Malabar spinach),Dinagat Islands,2016,1.12,0.25
Alugbati (Malabar spinach),Dinagat Islands,2017,1.11,0.25
Alugbati (Malabar spinach),Dinagat Islands,2018,1.13,0.25
Alugbati (Malabar spinach),Dinagat Islands,2019,0.94,0.22
Alugbati (Malabar spinach),Dinagat Islands,2020,1.51,0.25
Alugbati (Malabar spinach),Dinagat Islands,2021,1.42,0.25
Alugbati (Malabar spinach),Dinagat Islands,2022,1.25,0.2
Alugbati (Malabar spinach),Dinagat Islands,2023,12.55,2.9
Alugbati (Malabar spinach),Dinagat Islands,2024,2.31,3.57
Alugbati (Malabar spinach),Eastern Samar,2010,3.87,10
Alugbati (Malabar spinach),Eastern Samar,2011,4,10
Alugbati (Malabar spinach),Eastern Samar,2012,4.04,10
Alugbati (Malabar spinach),Eastern Samar,2013,3.99,7
Alugbati (Malabar spinach),Eastern Samar,2014,3.97,7
Alugbati (Malabar spinach),Eastern Samar,2015,3.44,6
Alugbati (Malabar spinach),Eastern Samar,2016,2.16,4
Alugbati (Malabar spinach),Eastern Samar,2017,1.35,3
Alugbati (Malabar spinach),Eastern Samar,2018,0.62,1
Alugbati (Malabar spinach),Eastern Samar,2019,0.28,0.7
Alugbati (Malabar spinach),Eastern Samar,2020,0.21,0.6
Alugbati (Malabar spinach),Eastern Samar,2021,0.21,0.4
Alugbati (Malabar spinach),Eastern Samar,2022,0.24,0.4
Alugbati (Malabar spinach),Eastern Samar,2023,0.33,0.4
Alugbati (Malabar spinach),Eastern Samar,2024,0.56,0.15
Alugbati (Malabar spinach),Guimaras,2010,723,13.5
Alugbati (Malabar spinach),Guimaras,2011,663.75,12.75
Alugbati (Malabar spinach),Guimaras,2012,636,12
Alugbati (Malabar spinach),Guimaras,2013,572,11
Alugbati (Malabar spinach),Guimaras,2014,497,10
Alugbati (Malabar spinach),Guimaras,2015,383.3,12
Alugbati (Malabar spinach),Guimaras,2016,258,12
Alugbati (Malabar spinach),Guimaras,2017,271.38,11
Alugbati (Malabar spinach),Guimaras,2018,252.5,10.5
Alugbati (Malabar spinach),Guimaras,2019,238,9.5
Alugbati (Malabar spinach),Guimaras,2020,293.1,9.75
Alugbati (Malabar spinach),Guimaras,2021,318.3,10.66
Alugbati (Malabar spinach),Guimaras,2022,344.25,12.5
Alugbati (Malabar spinach),Guimaras,2023,352.39,13
Alugbati (Malabar spinach),Guimaras,2024,359.21,12
Alugbati (Malabar spinach),Ifugao,2024,0.6,1.21
Alugbati (Malabar spinach),Ilocos Norte,2023,0.05,0.02
Alugbati (Malabar spinach),Ilocos Norte,2024,0.37,0.31
Alugbati (Malabar spinach),Ilocos Sur,2024,0.08,0.05
Alugbati (Malabar spinach),Iloilo,2010,3570,200
Alugbati (Malabar spinach),Iloilo,2011,3716,195
Alugbati (Malabar spinach),Iloilo,2012,3732,195
Alugbati (Malabar spinach),Iloilo,2013,3832,196
Alugbati (Malabar spinach),Iloilo,2014,3732,198
Alugbati (Malabar spinach),Iloilo,2015,3634,196
Alugbati (Malabar spinach),Iloilo,2016,3757,197
Alugbati (Malabar spinach),Iloilo,2017,3862.5,198
Alugbati (Malabar spinach),Iloilo,2018,3900,197
Alugbati (Malabar spinach),Iloilo,2019,3830.6,197
Alugbati (Malabar spinach),Iloilo,2020,4007.87,197
Alugbati (Malabar spinach),Iloilo,2021,4231.49,197
Alugbati (Malabar spinach),Iloilo,2022,4389.73,197
Alugbati (Malabar spinach),Iloilo,2023,4373.34,144
Alugbati (Malabar spinach),Iloilo,2024,3439.59,141.6
Alugbati (Malabar spinach),Isabela,2010,51.8,10
Alugbati (Malabar spinach),Isabela,2011,62.09,10
Alugbati (Malabar spinach),Isabela,2012,66.59,9
Alugbati (Malabar spinach),Isabela,2013,81.59,10
Alugbati (Malabar spinach),Isabela,2014,72.93,7.5
Alugbati (Malabar spinach),Isabela,2015,73.55,7.5
Alugbati (Malabar spinach),Isabela,2016,72.72,7.5
Alugbati (Malabar spinach),Isabela,2017,77.2,8
Alugbati (Malabar spinach),Isabela,2018,69.66,7.35
Alugbati (Malabar spinach),Isabela,2019,67.47,7.2
Alugbati (Malabar spinach),Isabela,2020,62.85,6.85
Alugbati (Malabar spinach),Isabela,2021,54.4,6.25
Alugbati (Malabar spinach),Isabela,2022,41.35,6
Alugbati (Malabar spinach),Isabela,2023,33.21,6
Alugbati (Malabar spinach),Isabela,2024,30.87,6
Alugbati (Malabar spinach),Kalinga,2010,17.92,5.5
Alugbati (Malabar spinach),Kalinga,2011,18.64,5.5
Alugbati (Malabar spinach),Kalinga,2012,18.2,5
Alugbati (Malabar spinach),Kalinga,2013,18,5
Alugbati (Malabar spinach),Kalinga,2014,17,5
Alugbati (Malabar spinach),Kalinga,2015,17.4,5
Alugbati (Malabar spinach),Kalinga,2016,15.15,4
Alugbati (Malabar spinach),Kalinga,2017,7.2,3.5
Alugbati (Malabar spinach),Kalinga,2018,5.3,3
Alugbati (Malabar spinach),Kalinga,2019,2.85,2
Alugbati (Malabar spinach),Kalinga,2020,2.5,1.5
Alugbati (Malabar spinach),Kalinga,2021,2.78,1.5
Alugbati (Malabar spinach),Kalinga,2022,3.31,1.5
Alugbati (Malabar spinach),Kalinga,2023,2.72,0.75
Alugbati (Malabar spinach),Kalinga,2024,1.44,0.75
Alugbati (Malabar spinach),La Union,2010,2.69,2.22
Alugbati (Malabar spinach),La Union,2011,2.79,2.23
Alugbati (Malabar spinach),La Union,2012,2.94,2.15
Alugbati (Malabar spinach),La Union,2013,3.13,2.2
Alugbati (Malabar spinach),La Union,2014,2.77,2.1
Alugbati (Malabar spinach),La Union,2015,2.79,2.01
Alugbati (Malabar spinach),La Union,2016,2.65,2
Alugbati (Malabar spinach),La Union,2017,2.52,2
Alugbati (Malabar spinach),La Union,2018,2.51,1
Alugbati (Malabar spinach),La Union,2019,2.43,0.97
Alugbati (Malabar spinach),La Union,2020,2.3,0.93
Alugbati (Malabar spinach),La Union,2021,2.3,0.93
Alugbati (Malabar spinach),La Union,2022,2.45,0.93
Alugbati (Malabar spinach),La Union,2023,2.69,0.52
Alugbati (Malabar spinach),La Union,2024,2.9,0.52
Alugbati (Malabar spinach),Laguna,2010,4.4,0.15
